Date,Open,High,Low,Close,Adj Close,Volume
2004-01-30,49.509998,49.560001,49.500000,49.560001,39.710876,21900
2004-02-02,49.700001,49.939999,49.650002,49.650002,39.782990,2200
2004-02-03,49.820000,49.880001,49.700001,49.869999,39.959282,5600
2004-02-04,49.500000,49.750000,49.349998,49.459999,39.630768,1600
2004-02-05,49.330002,49.540001,49.330002,49.500000,39.662788,3300
2004-02-06,49.650002,50.119999,49.650002,50.119999,40.159580,400
2004-02-09,50.189999,50.330002,50.090000,50.090000,40.135548,3400
2004-02-10,50.299999,50.299999,50.270000,50.299999,40.303818,3000
2004-02-11,50.290001,50.750000,50.209999,50.750000,40.664379,1400
2004-02-12,50.750000,50.750000,50.750000,50.750000,40.664379,0
2004-02-13,50.700001,50.700001,50.189999,50.189999,40.215668,4300
2004-02-17,50.540001,50.750000,50.529999,50.750000,40.664379,1500
2004-02-18,50.540001,50.540001,50.529999,50.529999,40.488117,600
2004-02-19,50.770000,50.869999,50.680000,50.680000,40.608303,3900
2004-02-20,50.299999,50.299999,49.799999,49.849998,39.943256,1200
2004-02-23,50.000000,50.000000,49.680000,49.680000,39.807026,900
2004-02-24,49.580002,49.820000,49.580002,49.820000,39.919220,700
2004-02-25,49.919998,49.919998,49.919998,49.919998,39.999332,400
2004-02-26,49.980000,49.990002,49.980000,49.990002,40.055428,21000
2004-02-27,49.919998,50.110001,49.919998,50.040001,40.095478,8700
2004-03-01,50.400002,50.400002,50.099998,50.360001,40.351891,400
2004-03-02,50.480000,50.520000,50.430000,50.500000,40.464073,1600
2004-03-03,49.900002,49.939999,49.900002,49.939999,40.015354,500
2004-03-04,50.209999,50.330002,50.209999,50.330002,40.327858,1100
2004-03-05,50.380001,50.419998,50.270000,50.389999,40.375931,7400
2004-03-08,50.389999,50.389999,50.389999,50.389999,40.375931,500
2004-03-09,49.799999,49.799999,49.369999,49.369999,39.558659,200
2004-03-10,49.400002,49.400002,48.959999,48.959999,39.230110,9000
2004-03-11,48.740002,48.849998,48.549999,48.549999,38.901608,2900
2004-03-12,48.700001,48.779999,48.549999,48.669998,38.997746,2400
2004-03-15,48.369999,48.410000,48.299999,48.410000,38.789421,23000
2004-03-16,48.520000,48.520000,48.520000,48.520000,38.877552,100
2004-03-17,48.830002,49.049999,48.770000,49.049999,39.302227,4900
2004-03-18,48.610001,48.860001,48.529999,48.860001,39.149982,600
2004-03-19,48.669998,48.669998,48.360001,48.360001,38.749355,600
2004-03-22,48.000000,48.000000,47.470001,47.480000,38.044231,8700
2004-03-23,47.840000,47.840000,47.610001,47.730000,38.244541,500
2004-03-24,47.730000,47.730000,47.730000,47.730000,38.244541,0
2004-03-25,48.040001,48.040001,47.970001,47.970001,38.436859,2000
2004-03-26,48.490002,48.490002,48.389999,48.389999,38.773399,1600
2004-03-29,48.630001,49.080002,48.630001,49.080002,39.399559,1600
2004-03-30,49.029999,49.029999,48.900002,48.900002,39.255043,22000
2004-03-31,49.150002,49.169998,48.959999,49.169998,39.471786,5300
2004-04-01,49.090000,49.259998,49.090000,49.259998,39.544041,3500
2004-04-02,50.099998,50.099998,49.840000,49.950001,40.097942,5500
2004-04-05,50.150002,50.270000,50.130001,50.270000,40.354816,2900
2004-04-06,50.049999,50.240002,50.049999,50.240002,40.330757,3400
2004-04-07,49.910000,50.049999,49.869999,50.049999,40.178215,3300
2004-04-08,50.049999,50.049999,49.750000,49.799999,39.977535,2600
2004-04-12,50.150002,50.169998,50.080002,50.080002,40.202312,6400
2004-04-13,50.009998,50.020000,49.639999,49.639999,39.849098,6100
2004-04-14,49.400002,49.619999,49.400002,49.439999,39.688557,1800
2004-04-15,49.580002,49.590000,49.580002,49.590000,39.808956,600
2004-04-16,49.599998,49.650002,49.299999,49.650002,39.857105,2900
2004-04-19,49.610001,49.610001,49.610001,49.610001,39.825027,600
2004-04-20,49.939999,49.939999,49.000000,49.000000,39.335320,13200
2004-04-21,49.080002,49.340000,49.080002,49.330002,39.600239,1600
2004-04-22,49.240002,50.110001,49.240002,50.099998,40.218361,600
2004-04-23,50.139999,50.209999,50.020000,50.209999,40.306667,3700
2004-04-26,50.349998,50.349998,49.820000,49.820000,39.993603,125700
2004-04-27,50.250000,50.250000,50.080002,50.189999,40.290604,43200
2004-04-28,49.630001,49.630001,49.630001,49.630001,39.841087,400
2004-04-29,49.139999,49.310001,48.520000,48.520000,38.950001,47500
2004-04-30,48.720001,48.720001,48.720001,48.720001,39.110558,20000
2004-05-03,48.770000,48.849998,48.540001,48.540001,38.966061,3900
2004-05-04,48.790001,48.790001,48.520000,48.520000,38.950001,500
2004-05-05,49.060001,49.090000,48.889999,49.090000,39.407585,3600
2004-05-06,48.810001,48.869999,48.430000,48.619999,39.030273,8900
2004-05-07,48.779999,48.779999,48.680000,48.680000,39.078449,1600
2004-05-10,47.740002,47.910000,47.650002,47.799999,38.372005,2000
2004-05-11,48.200001,48.240002,47.990002,48.169998,38.669037,65800
2004-05-12,48.000000,48.209999,47.189999,48.209999,38.701157,70500
2004-05-13,48.099998,48.400002,48.099998,48.209999,38.701157,1800
2004-05-14,47.619999,48.139999,47.619999,48.139999,38.644955,62300
2004-05-17,47.549999,47.650002,47.320000,47.570000,38.187366,25200
2004-05-18,47.779999,47.889999,47.779999,47.860001,38.420177,7000
2004-05-19,48.250000,48.400002,47.840000,47.840000,38.404114,2200
2004-05-20,47.810001,47.810001,47.740002,47.740002,38.323864,300
2004-05-21,47.990002,48.029999,47.910000,47.910000,38.460331,4100
2004-05-24,48.070000,48.180000,47.869999,47.980000,38.516499,326500
2004-05-25,47.869999,48.889999,47.810001,48.889999,39.247021,226300
2004-05-26,48.900002,48.950001,48.730000,48.849998,39.214935,339700
2004-05-27,49.340000,49.360001,49.020000,49.220001,39.511944,552000
2004-05-28,49.259998,49.369999,49.250000,49.369999,39.632347,3000
2004-06-01,49.049999,49.290001,49.000000,49.000000,39.335320,5300
2004-06-02,49.240002,49.279999,49.160000,49.279999,39.560101,7100
2004-06-03,49.279999,49.439999,49.130001,49.150002,39.455738,153300
2004-06-04,49.410000,49.590000,49.389999,49.389999,39.648415,1200
2004-06-07,49.639999,50.139999,49.549999,50.139999,40.250484,3700
2004-06-08,50.060001,50.259998,49.950001,50.119999,40.234417,52200
2004-06-09,50.020000,50.020000,49.720001,49.720001,39.913315,54100
2004-06-10,50.000000,50.000000,49.750000,49.750000,39.937401,2400
2004-06-14,49.650002,49.650002,49.250000,49.369999,39.632347,127900
2004-06-15,49.730000,49.810001,49.709999,49.810001,39.985550,1500
2004-06-16,49.799999,49.799999,49.599998,49.750000,39.937401,65500
2004-06-17,49.599998,49.599998,49.310001,49.500000,39.736698,7100
2004-06-18,49.450001,49.740002,49.450001,49.630001,39.841087,95100
2004-06-21,49.580002,49.650002,49.299999,49.299999,39.576160,1200
2004-06-22,49.220001,49.480000,48.910000,49.430000,39.680519,2300
2004-06-23,49.450001,49.590000,49.320000,49.590000,39.808956,2600
2004-06-24,49.869999,49.970001,49.730000,49.730000,39.921345,3000
2004-06-25,49.820000,49.849998,49.720001,49.720001,39.913315,1100
2004-06-28,49.799999,49.799999,49.500000,49.500000,39.792713,3200
2004-06-29,49.500000,49.610001,49.500000,49.570000,39.848995,1400
2004-06-30,49.570000,49.919998,49.500000,49.840000,40.066051,3000
2004-07-01,49.090000,49.240002,49.000000,49.240002,39.583717,4800
2004-07-02,49.029999,49.070000,48.810001,48.959999,39.358624,2600
2004-07-06,48.500000,48.500000,48.240002,48.439999,38.940590,2700
2004-07-07,48.500000,48.580002,48.400002,48.480000,38.972752,6200
2004-07-08,48.259998,48.520000,48.000000,48.000000,38.586906,1000
2004-07-09,48.209999,48.240002,48.090000,48.169998,38.723549,1700
2004-07-12,48.139999,48.160000,47.779999,48.160000,38.715511,4300
2004-07-13,48.200001,48.200001,48.119999,48.150002,38.707466,800
2004-07-14,47.900002,48.250000,47.900002,48.000000,38.586906,2900
2004-07-15,48.070000,48.099998,47.639999,47.639999,38.297482,6700
2004-07-16,47.790001,47.790001,47.480000,47.480000,38.168861,300
2004-07-19,47.480000,47.480000,46.959999,47.279999,38.008076,3600
2004-07-20,47.099998,47.630001,47.099998,47.630001,38.289440,5000
2004-07-21,47.980000,47.980000,46.970001,46.970001,37.758892,4100
2004-07-22,46.799999,47.200001,46.580002,47.200001,37.943779,2600
2004-07-23,46.580002,46.680000,46.389999,46.549999,37.421246,3300
2004-07-26,46.400002,46.400002,46.060001,46.240002,37.172039,9300
2004-07-27,46.430000,46.880001,46.369999,46.880001,37.686523,20600
2004-07-28,46.590000,46.759998,46.259998,46.680000,37.525753,4000
2004-07-29,46.880001,47.009998,46.730000,46.990002,37.774960,4200
2004-07-30,46.889999,47.080002,46.889999,46.990002,37.774960,22900
2004-08-02,46.889999,47.119999,46.830002,47.119999,37.879456,2700
2004-08-03,47.090000,47.090000,46.790001,46.840000,37.654373,2900
2004-08-04,46.599998,46.680000,46.450001,46.680000,37.525753,1300
2004-08-05,46.750000,46.750000,46.220001,46.240002,37.172039,2400
2004-08-06,45.389999,45.529999,45.099998,45.099998,36.255600,3700
2004-08-09,45.290001,45.290001,45.119999,45.119999,36.271667,5000
2004-08-10,45.270000,45.630001,45.270000,45.630001,36.681648,2400
2004-08-11,45.119999,45.439999,45.040001,45.400002,36.496777,7300
2004-08-12,45.380001,45.380001,44.939999,44.980000,36.159134,5400
2004-08-13,45.180000,45.180000,44.919998,45.049999,36.215397,4400
2004-08-16,45.279999,45.630001,45.279999,45.630001,36.681648,1400
2004-08-17,45.910000,45.910000,45.759998,45.790001,36.810287,9000
2004-08-18,45.770000,46.349998,45.770000,46.349998,37.260471,300
2004-08-19,46.340000,46.349998,46.119999,46.119999,37.075592,1700
2004-08-20,46.330002,46.330002,46.330002,46.330002,37.244381,200
